,,4.A.3.a.3.G03,Operate recycling processing equipment.,,,
,,4.A.3.a.3.G04,Operate robotic or automated equipment.,,,
,,4.A.3.a.3.G05,Operate pollution capture equipment.,,,
"Operating Vehicles, Mechanized Devices, or Equipment —",4.A.3.a.4,," Running, maneuvering, navigating, or driving vehicles or mechanized equipment, such as forklifts, passenger vehicles, aircraft, or water craft.",,,
,,4.A.3.a.4.G01,Operate refuse collection equipment.,,,
,,4.A.3.a.4.G02,Operate trucks or other heavy equipment.,,,
Interacting With Computers —,4.A.3.b.1,," Using computers and computer systems (including hardware and software) to program, write software, set up functions, enter data, or process information.","développement, développer","de la plate-forme
des programmes (vérifier)
application/s
application: creuser",
,,," Using computers and computer systems (including hardware and software) to program, write software, set up functions, enter data, or process information.","gérer, gestion",ETL,"modélisation climatique
modélisation atmosphérique
modélisation hydraulique
modélisation géologique
modélisation environnementale
modélisation hydrologique
modélisation énergétique
modélisation statistique"
,,4.A.3.b.1.G01,Maintain databases of green information.,"gérer, gestion ",des bases de données,
"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment — ",4.A.3.b.2,,"Providing documentation, detailed instructions, drawings, or specifications to tell others about how devices, parts, equipment, or structures are to be fabricated, constructed, assembled, modified, maintained, or used.",,,
,,4.A.3.b.2.G01,Prepare diagrams or drawings for green projects.,,,
,,4.A.3.b.2.G02,"Develop specifications for green materials, equipment or systems.",,,
Repairing and Maintaining Mechanical Equipment — ,4.A.3.b.4,,"Servicing, repairing, adjusting, and testing machines, devices, moving parts, and equipment that operate primarily on the basis of mechanical (not electronic) principles.",,,
,,4.A.3.b.4.G01,Repair alternative energy generation equipment.,,,
,,4.A.3.b.4.G02,Maintain operational equipment used in green activities.,,,
,,4.A.3.b.4.G03,Service vehicles equipped with green technology.,,,
Repairing and Maintaining Electronic Equipment — ,4.A.3.b.5,,"Servicing, repairing, calibrating, regulating, fine-tuning, or testing machines, devices, and equipment that operate primarily on the basis of electrical or electronic (not mechanical) principles.",,,
Documenting/Recording Information — ,4.A.3.b.6,,"Entering, transcribing, recording, storing, or maintaining information in written or electronic/magnetic form.","documenter
stokage, stocker",données,
,,,,,,
,,,,,,
,,4.A.3.b.6.G01,Write reports to communicate environmental information.,,,
,,4.A.3.b.6.G02,Prepare grant applications or funding proposals for green projects.,,,
,,4.A.3.b.6.G03,Document test results.,,,
,,4.A.3.b.6.G04,Prepare environmental reports or documentation.,"rédiger, rédige, rédaction
établir, établissement 
prépararer/préparation ","rapport/s
étude/s
compte rendus
analyse/s
rapport/s d'analyse
thématique/s",
,,4.A.3.b.6.G05,Record operational data for green facilities or activities.,,,
,,4.A.3.b.6.G06,Prepare work requests or proposals.,,,
,,4.A.3.b.6.G07,"Prepare research reports on green projects, products or technologies.","rédiger, rédige, rédaction
établir, établissement 
prépararer/préparation ","dossiers techniques
notes techniques
rapports techniques",
,,4.A.3.b.6.G08,Document details of green products or operations.,,,
,,4.A.3.b.6.G09,Complete green activity documentation.,,,
,,4.A.3.b.6.G10,Document operational instructions for green equipment or processes.,,,
Interacting with others,,,What interactions with other persons or supervisory activities occur while performing this job?,,,
Interpreting the Meaning of Information for Others,4.A.4.a.1,,Translating or explaining what information means and how it can be used.,,,
"Communicating with Supervisors, Peers, or Subordinates —",4.A.4.a.2,," Providing information to supervisors, co-workers, and subordinates by telephone, in written form, e-mail, or in person.",,,
,,4.A.4.a.2.G01,Communicate operating information to other personnel.,,,
Communicating with Persons Outside Organization ,4.A.4.a.3,," Communicating with people outside the organization, representing the organization to customers, the public, government, and other external sources. This information can be exchanged in person, in writing, or by telephone or e-mail.","gérer, gestion","des membres, des partenariats, du comité, des séances , des relations, des parties prenantes",
,,4.A.4.a.3.G01,Provide customers with financial information.,,,
,,4.A.4.a.3.G02,Consult with other professionals on green issues.,,,
,,4.A.4.a.3.G03,Provide green product or service information to customers.,,,
Establishing and Maintaining Interpersonal Relationships —,4.A.4.a.4,," Developing constructive and cooperative working relationships with others, and maintaining them over time.",,,
Assisting and Caring for Others —,4.A.4.a.5,," Providing personal assistance, medical attention, emotional support, or other personal care to others such as coworkers, customers, or patients.",,,
Selling or Influencing Others —,4.A.4.a.6,, Convincing others to buy merchandise/goods or to otherwise change their minds or actions.,,,
,,4.A.4.a.6.G01,Create marketing or informational materials.,,,
,,4.A.4.a.6.G02,Identify potential customers for green products or technologies.,identifier, publics-cible,
,,4.A.4.a.6.G03,Sell green products or services.,,,
,,4.A.4.a.6.G04,Promote green activities or initiatives.,,,
,,4.A.4.a.6.G05,Develop marketing plans.,,,
Resolving Conflicts and Negotiating with Others —,4.A.4.a.7,," Handling complaints, settling disputes, and resolving grievances and conflicts, or otherwise negotiating with others.",,,
,,4.A.4.a.7.G01,Negotiate contracts.,,,
,,4.A.4.a.7.G02,Resolve problems or disputes related to environmental or resource issues.,,,
Performing for or Working Directly with the Public —,4.A.4.a.8,," Performing for people or dealing directly with the public. This includes serving customers in restaurants and stores, and receiving clients or guests.",gestion clients,,
